,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNF138,127.166414147664,0.320614903349302,0.222485871054225,1.44105736616039,0.149568476792184,0.248189312479568
CERK,50.2045193891039,-0.374857054412129,0.260108464889398,-1.4411566904273,0.149540420755084,0.248189312479568
TIRAP,11.0221493118072,0.762793300045633,0.529351364568684,1.44099619100285,0.149585758882853,0.248191290823183
RPS14P4,11.541195703745,-0.848100038128067,0.588625395013114,-1.44081455763419,0.149637079609428,0.248203832087583
FARP1,18.0316877659145,-0.568016393535344,0.394224040013066,-1.44084666555727,0.149628006499859,0.248203832087583
ARHGAP5,51.9016203349781,0.571351010907596,0.39654009818387,1.44084044343649,0.149629764724167,0.248203832087583
SLITRK5,1.97801184318908,-2.09438618662207,1.45441952358609,-1.44001517626637,0.149863105447344,0.248554512056395
ELP3,584.289858293995,0.22302088652623,0.154885616157074,1.43990702338724,0.149893705766447,0.248581033490848
GTF2IP20,94.3713950066813,-0.337333369870006,0.234285213205982,-1.43984063378949,0.149912492119601,0.248587959596045
MAFTRR,1.53261954238189,-1.80989672113778,1.25707503292199,-1.43976825069129,0.14993297650798,0.248597699793733
DHRS2,4.16785414207089,-1.31846328697552,0.916061648906981,-1.43927353420883,0.150073038243605,0.248805685054559
MFSD14C,123.696272377465,-0.297159859604837,0.206500525552774,-1.4390271347222,0.150142834889507,0.248848659229005
SNRPCP14,1.95987189589482,-1.80329175698964,1.2531103844248,-1.43905260015651,0.150135620245915,0.248848659229005
ZNF334,25.263987576094,0.464170885214084,0.322553893590478,1.43904908431645,0.150136616307166,0.248848659229005
HERC3,5.99329397641994,-0.90074732546884,0.62597753857949,-1.43894512175769,0.150166071880485,0.248862931045725
NEUROD2,1.44444195127939,2.62009765894703,1.82094053378664,1.43887052340943,0.150187210446646,0.248873722803826
CTXN1,3.82856862760281,-1.17425340779725,0.816133483457392,-1.43880067611337,0.150207004787479,0.248882285174697
PROCA1,350.564241292013,-0.312151504610189,0.216974548051635,-1.43865493631955,0.150248313052255,0.24892648944344
ELAC1,83.1947961961389,0.282966886970307,0.196708888615306,1.43850584974679,0.150290578885597,0.248972271418404
CBX3P2,3.20260679960586,1.38098630994321,0.960149285282481,1.43830374204457,0.150347890609324,0.249042967164879
FAM185BP,9.10022134324262,-0.708761756055275,0.492801990838566,-1.43822827267647,0.150369295746476,0.249054177662444
CNPY2,83.6308122093437,-0.316750251579916,0.22033318065382,-1.43759669170112,0.150548520150144,0.249326753976513
CSDC2,7.19081663899748,-2.54451181644499,1.7703641323273,-1.43728161341588,0.150637991112135,0.249450649029
PRTFDC1,8.15161616173564,0.997880415069901,0.694503298900685,1.43682602609581,0.150767433281922,0.249640704290765
SLC22A20P,8.07075897745936,-1.1948392983307,0.831895399124499,-1.43628549885979,0.150921118651397,0.249870860548167
FAM168A,156.28400906581,0.287577080408528,0.200387996647887,1.43510132951648,0.15125822476274,0.250399838462185
SNORA11F,5.71859021725945,1.29978870694878,0.905738346092876,1.43505981893749,0.151270052280506,0.250399838462185
ZNF112,12.2222608431883,0.822923739929545,0.573540894142086,1.43481266695114,0.151340487338081,0.250482554958849
SERHL,4.9690525741346,1.37928474012899,0.961320630562839,1.43478117110775,0.151349465032732,0.250482554958849
NLRP12,1.40185611989241,-2.13384961013055,1.48761502709575,-1.4344098246281,0.151455345635087,0.250633408478994
NUP107-DT,4.18069776235714,1.12186016195486,0.782139598557882,1.43434773539578,0.151473054404901,0.250638337129183
DHRS7,447.378181929444,-0.260132857925773,0.181375130516538,-1.43422561397994,0.151507889845518,0.250671601100884
CDHR4,3.09341612269232,1.45599525647483,1.01528136068647,1.43408055427155,0.151549276420547,0.250715696479883
STARD3NL,98.0833180048782,0.463007398592473,0.322915341853218,1.43383524590459,0.151619284249653,0.250807128281922
TRPV3,2.07469911067562,-1.85857399037584,1.29636717330862,-1.43367868968198,0.151663976241062,0.250856669169016
CTC1,171.85239668545,-0.349688916929764,0.24394006977034,-1.43350338982432,0.151714030870314,0.250915069523561
DNAAF1,6.96649478498383,-1.20722083565658,0.842316654153258,-1.43321496696529,0.151796413700829,0.251026919926096
SH3D19,2.38914898254638,2.00040500935256,1.3960281289615,1.43292600475082,0.15187898474598,0.25111465605411
NRP1,7.09436937133945,0.971797487237995,0.678181688482641,1.43294563056146,0.151873375581984,0.25111465605411
EGFL7,664.478862991287,-0.31650217026854,0.220948195491243,-1.43247230222835,0.15200869938725,0.251304704632148
TSTD1,130.84221965112,-0.259257155939046,0.181039135477184,-1.43205034235109,0.152129414416701,0.251479839337431
FGF22,7.07410792432757,-1.01293123007906,0.707356005060765,-1.43199636792799,0.152144860778461,0.251480940950603
ZSCAN18,35.8279224436241,-0.435344817886481,0.304039940751288,-1.43186719748312,0.152181831531556,0.251517616659487
SPATA2,37.1892954684719,0.438802021272252,0.306515577004927,1.43158147315038,0.152263634934147,0.251628374942164
DOK7,2.73381156784373,-1.49744853601589,1.04624483933378,-1.43126014076153,0.152355672972805,0.251756023660511
SLC9B2,99.1797632082094,0.291116167231987,0.203483641490443,1.43066128117066,0.152527315082182,0.252015174414773
MANF,482.940474940648,0.20717207172592,0.144857263730244,1.43018076133013,0.152665145631527,0.252191080452497
MTCO2P29,1.49671425171628,-2.77604822875024,1.94110906142918,-1.43013511394683,0.152678243887228,0.252191080452497
SLIT1,2.32318179105037,-1.87421395199677,1.31048112290723,-1.43017241472272,0.15266754057893,0.252191080452497
ZNF603P,3.09595922870058,-1.62611871390099,1.1370946343764,-1.43006453881719,0.152698496700318,0.252200050607251
MAN1B1-DT,7.30618838955665,-0.86443850400231,0.604565449965787,-1.42985098478788,0.152759792352551,0.252276799658222
GPR180,61.1143211536909,0.41346093549117,0.289192843339059,1.42970666465081,0.152801226647179,0.252311534760222
DCAKD,59.78763174071,0.461670844033894,0.322920264135538,1.42967442836018,0.152810482850666,0.252311534760222
RHEX,233.448402217337,-0.254611210637715,0.178150616376061,-1.42919073656334,0.152949419465972,0.252516434330828
CCDC32,218.454230152398,0.289414491119247,0.202541215784251,1.42891652940177,0.153028225959013,0.252622030143844
ICAM3,2.28082282707662,-1.45318747390942,1.01708265254897,-1.42878011955813,0.153067441330167,0.252662254000076
GUCY1A1,4.75851638587596,1.52174560852695,1.06512944453642,1.42869546638931,0.153091781433901,0.252677918430286
DEGS1,104.369558169377,0.362083313244209,0.253520533878789,1.42822085337405,0.153228300197457,0.252878712692505
ZNF799,7.81946327417947,0.889578056370922,0.623075321701462,1.42772153764927,0.153372024428487,0.25309135832128
ZNF385B,1.29643472857902,-2.75224836567273,1.92780458144962,-1.42765941743077,0.153389912428779,0.253096330486393
TMEM167B-DT,4.10579178194468,1.27963896763885,0.896378258088152,1.42756582513296,0.153416866054983,0.253113076425748
DCUN1D2,108.315403773071,-0.34188065058833,0.239492575611307,-1.42752087289419,0.15342981312108,0.253113076425748
DNM1P51,4.73482779902426,-1.10971729527775,0.77743011148873,-1.42741743454304,0.153459608411742,0.253137686585147
OXR1-AS1,2.03485550360154,-1.70647121841665,1.19564806456443,-1.42723537886403,0.153512060013968,0.253199660831492
GP6,13.9909177848823,-0.748136283057571,0.524408237749504,-1.42662954012354,0.153686704847168,0.253463146551765
PTPRU,1.81803668319437,-1.99667230421252,1.4001011193117,-1.42609149915837,0.153841932255859,0.253694560702989
RPL32P3,172.589325355431,-0.31759267330093,0.222721441687129,-1.42596362027448,0.153878843452752,0.25373083839021
ZNF385A,47.3122922702404,-0.432068934716003,0.30305836263831,-1.42569546985794,0.153956264740902,0.253833899667291
ABHD4,117.855763409047,0.305154305045334,0.214066663123681,1.42551063576408,0.154009647896047,0.253897312174329
UQCRFS1P1,1.16868180426339,2.25514793243453,1.58219759024777,1.42532636020598,0.154062883740497,0.253960469564479
BCL7A,165.634580669269,-0.303331430487335,0.212882179269506,-1.42487939351336,0.154192067208924,0.254148796237512
BSN-DT,9.77507057655422,-0.99539251607064,0.698672874931973,-1.42469036910522,0.154246724292327,0.254189638143723
NKD2,1.7900169941652,-2.43341614410736,1.7079800261605,-1.42473337324537,0.154234288197927,0.254189638143723
SLC27A4,69.5447621467843,-0.340272261711129,0.238882796454544,-1.42443184172904,0.154321502243493,0.254263615829673
SERTAD1,23.7862611471082,-0.542896976097384,0.381127820220632,-1.42444856369473,0.154316664652501,0.254263615829673
PGAM1P11,2.03801170805761,-1.81119848801146,1.27163113897087,-1.42431121140778,0.154356403477881,0.254296495466319
PWWP3A,446.069680035352,-0.269173670402651,0.1890425020213,-1.42387911461477,0.154481468622655,0.254477896080403
MSH2-OT1,1.14548972255448,-2.55254169935635,1.79283225906474,-1.42374819866747,0.154519375838184,0.254494462085604
SLC12A9,111.194795949838,-0.527297943980336,0.370360842874944,-1.42374107340063,0.154521439189326,0.254494462085604
