id,GSM1618288,GSM1618289,GSM1618290,GSM1618291,GSM1618292,GSM1618293,GSM1618294,GSM1618295,GSM1618296,GSM1618297
TYROBP,10.71988,10.26772,9.94528,8.404293,7.983706,7.714412,7.914505,7.741617,7.867861,7.553098
GUCY1B3,8.716794,8.470761,8.38833,6.481775,5.83466,5.419429,6.003078,5.408564,5.655775,5.480919
MME,6.365875,7.493893,7.850143,4.088905,4.170282,4.029755,4.145874,4.021991,4.226912,4.202681
HIST1H2BB,8.063013,8.89574,8.592706,10.27116,10.63549,10.52071,10.65117,10.54206,11.49576,11.57949
MLF1IP,7.823849,7.984556,7.840562,9.284838,9.189357,8.928465,9.358131,9.044551,9.626,9.52083
RHOBTB1,7.797785,7.81852,7.836505,6.961735,6.655328,6.579494,6.601774,6.496414,5.796206,5.811773
CEP78,7.326536,7.535159,7.730024,8.713852,8.790636,8.673409,8.632131,8.512854,7.845526,8.071411
MRPL47,8.344301,8.585785,8.466906,9.42408,9.575924,9.409577,9.703737,9.57387,9.005404,9.158589
MRPS15,8.965347,9.290187,9.04423,10.14043,10.32556,10.11669,10.28318,10.17192,9.501654,9.449951
OTTHUMG00000014085,6.686909,6.703452,6.77867,5.663237,5.532556,5.761492,5.533537,5.792901,5.952625,6.151475
KIF21A,4.307518,4.636146,4.252111,5.758174,5.584485,5.677239,6.023817,6.164453,5.258569,5.529609
STEAP3,8.413611,8.204543,8.086596,9.406677,9.654094,9.579876,9.820109,9.853033,10.38145,9.999388
ABCF1,8.924205,8.858096,9.027823,9.925113,10.0328,9.908845,9.919804,9.7868,9.345474,9.622869
ST3GAL2,8.60845,8.520812,8.427708,9.748681,9.845214,9.569858,9.915232,9.856033,10.32408,10.69227
PRKAR2B,9.622569,9.532029,9.285019,10.82214,10.68574,11.13814,10.88413,11.10532,10.81896,10.85154
CD22,8.074436,7.781762,8.915518,5.830175,5.867414,5.832562,5.981925,5.914196,6.231708,6.106841
ZNF793,5.714045,6.278543,6.665298,4.218753,4.259509,4.122317,4.230895,4.138366,4.304257,4.263657
LOC732360,8.544575,8.611494,8.794353,9.827757,9.675309,9.610542,9.709792,9.497319,9.72408,9.756948
CTSK,7.512955,7.29375,7.250088,5.909959,5.872204,6.172697,6.009655,6.271796,6.448465,6.777921
TMEFF1,7.024595,6.993207,7.111612,5.721252,5.965263,5.849009,6.043194,5.870801,6.022377,5.642113
MRPL40,8.032647,7.801451,7.822131,8.841629,8.989069,8.95843,8.948776,9.02622,7.972871,8.223753
HSPA14,7.207913,7.634851,7.482346,8.649943,8.672409,8.535727,8.489358,8.393335,7.914932,7.775095
GOLGA8I,7.650965,7.690047,7.976246,6.650891,6.653218,6.802487,6.79225,6.798857,6.891833,7.022259
SNRNP40,7.84085,8.122141,8.197247,9.15883,9.208214,9.046439,9.024909,9.132509,8.380394,8.419388
STAT2,9.007245,8.903365,9.115471,7.940005,7.709384,7.894773,7.548628,7.723299,7.364495,7.669058
TANGO6,7.704969,7.689725,7.703056,8.889362,8.849147,9.041613,8.710438,8.962734,8.077391,7.670493
SNORA38,9.506638,9.310452,9.186136,7.716633,7.493445,7.90051,7.277616,7.791739,7.719116,7.928165
MFAP4,7.830026,7.933627,8.118921,6.731336,7.001219,6.931464,7.078367,7.087802,7.369502,7.259827
MGAT3,7.569649,7.519289,7.540875,8.511119,8.545652,8.74133,8.601569,8.922084,8.597113,8.600386
B4GALT5,9.496514,9.638688,9.435378,10.66086,10.74957,10.41332,10.66868,10.56571,11.28677,11.37545
MTHFD2,8.160592,8.582892,8.391261,9.809508,9.549886,9.516636,9.743424,9.746692,10.03673,9.977219
GLIPR2,8.438545,8.548192,8.251322,7.192018,7.104995,7.094407,7.879198,7.49423,8.637793,8.392454
MEIOB,3.310761,3.159242,3.204522,4.520529,4.753681,4.248413,4.366156,4.379202,3.79674,3.620908
EIF5B,8.917559,9.171942,9.380004,10.43716,10.32036,10.28283,10.30076,10.22354,9.354464,9.415524
LUC7L3,9.808912,9.858304,10.10836,8.885848,8.620252,8.84443,8.701031,8.821668,8.893354,9.036402
OTTHUMG00000164085,7.356826,7.39903,7.344306,8.651333,8.431633,8.535681,8.371846,8.605977,8.154931,8.519709
OTTHUMG00000010753,4.913372,5.233403,5.024361,6.103097,6.151715,6.243089,6.470809,6.242569,6.452261,6.302917
ZNF521,9.772964,9.687314,9.515178,7.627077,6.774099,7.738447,6.13872,5.845636,5.272075,5.25473
CLEC7A,7.075822,5.778968,5.824279,3.242589,3.376496,3.220639,3.418476,3.311589,3.373059,3.453248
SCARNA1,8.043702,8.166552,8.206469,6.980138,6.792302,6.587938,6.878978,6.620685,7.576221,7.9128
