	proerythroblast	early_basophilic	late_basophilic	polychromatic	orthochromatic	red_cluster
NLRP2	9.97632496704616	9.38082185607568	7.95419631038687	2.11547710644339	2.11547710644339	4
CENPI	10.4377520723236	11.1638590842909	11.5227448182235	10.3409627642517	10.3409627642517	3
DNAJC25	9.24317398347295	9.29691620687929	8.32042465473441	6.13613661961185	6.13613661961185	4
ZNF814	9.80842801035462	9.60486211991807	8.84549005094438	7.5647843647879	7.5647843647879	2
PPARA	13.3668685861671	13.2190172232001	12.6467087768336	11.0304374729159	11.0304374729159	2
QPRT	12.6718358116611	12.1522848423066	10.8238982006024	9.2999710709359	9.2999710709359	2
PRRT3	6.99623845788653	7.31590400544051	7.71424551766612	9.91089257612083	9.91089257612083	1
HAPLN3	2.73696566630096	2	0.736965623020107	0	0	2
MORN2	8.74931067283583	8.68416406151618	7.98109172777908	4.52356195605701	4.52356195605701	4
TRAF1	2.50250042539359	2.22239252438609	0.736965623020107	5.08746284125034	5.08746284125034	1
ATP13A2	10.7709388623888	10.5802585674998	9.90237511448603	6.68650052718322	6.68650052718322	4
CEP152	12.6500045049755	13.092151431973	13.0989642353131	12.177523251327	12.177523251327	4
TMEM173	9.71080643369935	9.24396724761779	8.20130696354168	4.43740553426036	4.43740553426036	4
CXorf57	6.79874135980821	7.37503943134692	6.88264304936184	7.02236781302845	7.02236781302845	3
LOC646278	6.5077946401987	6.4262647547021	5.95419631038687	4.43740553426036	4.43740553426036	4
XRN2	13.3389689218165	13.3427691729184	12.4787696194758	9.91935989790825	9.91935989790825	4
ARMC10	10.6859165026823	10.4672662323236	9.75711211170421	8.41362792902417	8.41362792902417	2
LINC00266-1	0	0	0	1.22239221523714	1.22239221523714	1
LSM7	11.9465408038931	11.7417479980477	10.9434913658501	9.01773627151899	9.01773627151899	2
GNPTAB	13.0876837701617	12.6961705647767	11.605633687439	9.22480554761627	9.22480554761627	2
DBI	10.9108922763919	10.4405235021402	9.57553924683453	6.58996313185928	6.58996313185928	2
LOC100128164	5.07324912487173	6.1154771480596	7.02974771142845	9.29538623089932	9.29538623089932	1
PISD	14.2969162068793	14.5024383898343	14.4609249007384	12.9358403719489	12.9358403719489	4
ZNF432	8.10678119289933	8.10328780841202	7.57742882803575	6.13613661961185	6.13613661961185	4
PDCD2L	10.0265234425198	9.83552416473851	8.62570884306447	4.62449105986657	4.62449105986657	4
STYX	11.8453594968177	11.6304186683129	10.9691468917423	9.8223052104052	9.8223052104052	2
INPP5E	10.3597495603223	10.4971862079078	9.97680324014598	8.78572479712117	8.78572479712117	4
MIR4720	3.66296539237897	3.50249991620705	2.58496250072116	1.73696544989669	1.73696544989669	2
GPSM1	7.10153767629332	5.54432061927345	3.8073549220576	3.77258985577372	3.77258985577372	2
ACAD8	10.9245653541201	11.0597953170754	10.6435558976191	8.69580838538171	8.69580838538171	4
SIVA1	12.2418839684469	12.5111762017115	12.182704710519	10.8813686664234	10.8813686664234	4
FAM111A	11.99116750614	12.8088300720324	13.1685154311876	12.7110932656388	12.7110932656388	3
DZIP1	3.50249991620705	3	1.22239221523714	0	0	2
RPS23	15.3688587029156	15.436115175205	15.1021943066953	13.4045202577105	13.4045202577105	4
TCEANC	8.18487534290828	9.00562454919388	9.546251468685	11.4130989849153	11.4130989849153	1
CAPRIN1	15.3282892409258	15.2348548449227	14.4921454879586	12.8840432280973	12.8840432280973	2
LPHN1	8.90086680798075	8.40230136921393	7.98489291778148	6.73696604500834	6.73696604500834	2
LOC84989	3.8073549220576	4.27301824566587	4.95419631038687	7.739218270967	7.739218270967	1
VPS37B	13.7912310730101	13.2261110981324	11.8339443622656	9.86933674148409	9.86933674148409	2
FBXO2	0	0.415037463211467	0	0	0	4
