"Gene"	"hs_proerythroblast_1"	"hs_proerythroblast_2"	"hs_proerythroblast_3"	"hs_early_basophilic_1"	"hs_early_basophilic_2"	"hs_early_basophilic_3"	"hs_late_basophilic_1"	"hs_late_basophilic_2"	"hs_late_basophilic_3"	"hs_polychromatic_1"	"hs_polychromatic_2"	"hs_polychromatic_3"	"hs_orthochromatic_1"	"hs_orthochromatic_2"	"hs_orthochromatic_3"
"222"	"PVR"	2545	329	489	2757	478	570	1870	360	450	304	107	165	7	7	7
"223"	"MCCC2"	12742	1778	2002	9499	1600	1664	3258	906	759	82	33	26	67	16	15
"224"	"SLC35G1"	562	129	144	963	179	142	643	173	152	38	26	28	0	4	2
"225"	"TMEM119"	1	0	0	0	1	0	0	1	0	9	1	3	621	44	59
"226"	"POLE2"	9645	1741	1997	11713	1998	2244	7030	1770	1811	1020	243	231	36	24	38
"227"	"THEM4"	1500	171	260	1054	121	194	390	79	83	22	7	5	2	2	2
"228"	"NUDT12"	1923	470	402	2140	555	418	1320	565	392	123	48	26	12	9	10
"229"	"ARMC9"	217	31	58	225	43	81	195	44	43	5	1	1	0	0	0
"230"	"CENPH"	9410	1934	2338	12415	2588	2764	8727	2621	2694	1603	383	424	74	25	41
"231"	"GLRX"	38630	6625	8565	32344	5546	6788	11399	2875	2889	198	57	80	287	67	92
"232"	"TMEM182"	342	39	74	257	38	54	101	14	17	0	0	0	0	0	0
"233"	"MPDZ"	3347	363	500	2641	454	345	1171	294	186	52	7	13	6	2	3
"234"	"ZNF681"	1300	285	357	1482	365	395	1292	464	379	264	44	34	6	5	5
"235"	"IFFO2"	2365	197	403	1441	166	317	373	61	84	5	2	4	4	3	3
"236"	"FAIM"	432	59	64	341	48	59	174	31	30	8	2	3	0	0	0
"237"	"LDHB"	122027	17941	22338	103873	16196	17431	47877	10369	9855	3511	497	463	415	115	108
"238"	"MTAP"	10300	1340	2002	8895	1430	1747	4056	894	1071	532	103	118	41	14	16
"239"	"ZNF658"	147	35	50	150	35	37	69	47	29	5	5	2	2	0	0
"240"	"HMGN5"	5305	1551	1370	6426	1712	1411	4342	1489	1192	610	184	151	43	38	38
"241"	"HMGA2"	7573	627	1865	5827	564	1562	2981	439	1178	230	48	58	16	10	4
"242"	"TRMT11"	1971	321	537	1824	303	485	900	218	311	100	37	30	15	1	5
"243"	"IDUA"	1033	89	309	714	109	317	308	68	83	10	1	3	2	0	2
"244"	"PKLR"	100245	10315	14704	100026	12933	13554	59894	10499	8178	1534	302	217	139	70	111
"245"	"GPC6"	24	41	21	12	25	10	12	14	2	3	1	1	0	0	0
"246"	"MSH2"	40738	5930	7789	42849	6851	7617	24265	5518	5719	5154	1354	1308	165	63	110
"247"	"PTPN14"	0	0	0	0	0	0	5	0	2	110	22	30	190	34	33
"248"	"DPH5"	4743	906	1104	4694	871	905	2863	657	610	269	38	55	23	11	8
"249"	"SLC25A15"	14942	2190	1910	12526	2010	1825	4549	1115	768	54	13	8	51	9	9
"250"	"ENTPD1"	11227	1656	1715	12564	2201	1863	7338	2036	1384	392	119	97	44	14	20
"251"	"ZNF334"	107	23	34	60	9	11	4	7	4	1	2	0	0	0	0
"252"	"SLCO4C1"	712	106	143	670	123	155	432	109	142	46	2	5	0	0	1
"253"	"GK5"	3929	564	682	3143	508	628	1705	295	467	384	106	121	12	9	10
"254"	"PNPT1"	8967	1648	1884	10421	1858	1990	5191	1541	1430	508	138	136	68	16	21
"255"	"CECR5"	1064	176	300	469	109	147	117	58	40	2	0	2	13	1	2
"256"	"MPHOSPH6"	3722	656	737	3101	634	608	1290	444	400	136	36	34	21	12	14
"257"	"ARG1"	82	20	17	145	22	27	297	11	26	6491	2301	5494	18908	4387	5920
"258"	"TSEN2"	2728	482	420	2380	450	414	901	272	204	30	3	12	11	4	2
"259"	"C12orf45"	1168	195	238	931	118	206	324	84	103	17	3	1	4	1	1
"260"	"SLC29A2"	3907	230	745	2060	157	489	389	37	88	3	0	1	2	1	4
"261"	"C20orf194"	1526	306	317	961	251	217	310	145	68	1	0	0	18	1	1
"262"	"ZNF287"	219	36	46	215	50	40	120	50	31	1	0	4	0	0	0
"263"	"KDELC1"	2348	244	605	2035	233	556	938	169	289	128	14	20	6	1	2
"264"	"HADH"	22001	2291	3805	18701	2199	3185	9400	1652	2226	991	186	213	56	23	25
"265"	"BMP2"	21	11	20	23	24	23	28	17	17	2	4	3	0	0	1
"266"	"PUS7L"	4341	637	795	3971	742	822	1772	481	438	247	58	52	22	9	6
"267"	"SLC46A3"	1435	255	314	1546	297	305	812	264	266	16	6	17	12	5	4
"268"	"MAP7D3"	4130	568	715	3015	493	553	1060	213	245	26	6	2	10	7	5
"269"	"FANCF"	3504	528	865	3434	670	893	2086	635	575	409	76	97	19	8	13
"270"	"ITGB5"	2	3	6	58	9	9	107	19	20	943	121	254	4960	375	492
"271"	"GINS1"	12465	2111	2590	14172	2791	2699	9331	2585	2433	1917	421	389	59	33	45
"272"	"RNLS"	432	71	111	451	94	97	354	81	116	13	2	7	1	2	0
"273"	"PPA2"	10565	2397	2233	11448	2464	2185	6507	2008	1850	1048	214	197	84	29	26
"274"	"EEF1E1"	1984	660	599	1923	632	694	1158	495	504	693	225	194	37	13	26
"275"	"ALKBH2"	2680	338	536	2070	268	465	763	197	241	26	7	4	11	1	5
"276"	"ZNF362"	4680	562	686	3475	569	653	2126	464	443	116	26	17	11	5	8
"277"	"NIPSNAP1"	17790	2464	3298	11887	1950	2548	4726	1143	1282	169	28	39	97	16	6
"278"	"SLC25A12"	2744	339	401	2801	374	419	1619	323	305	81	15	20	5	2	5
"279"	"ZNF485"	486	49	64	319	50	45	96	34	36	5	0	1	0	0	0
"280"	"VILL"	1126	91	156	722	67	161	255	38	51	4	2	1	0	1	1
"281"	"APOL4"	25304	2974	2782	32374	3924	3758	18686	3250	3344	283	147	110	59	22	37
"282"	"ALDH18A1"	53040	6140	8667	45828	6165	7217	18833	3730	3398	531	110	112	199	41	31
"283"	"TREML3"	0	0	0	3	1	0	19	0	0	1630	140	215	1069	145	222
"284"	"FANCL"	3092	453	687	3228	523	751	1897	474	631	240	88	88	19	9	12
"285"	"METAP1D"	1938	173	328	1744	226	351	658	174	191	43	6	14	6	0	1
"286"	"C9orf30"	2374	425	406	2663	423	466	1932	367	463	160	19	33	3	2	9
