id	D1	D2	D3	M1	M2	M3
PARVA	3.70043971814109	3.8073549220576	3.58496250072116	3.90689059560852	3	3.8073549220576
IGSF22	3.70043971814109	2.58496250072116	1.58496250072116	2.58496250072116	3.90689059560852	2.32192809488736
ZNF230-DT	3.32192809488736	4.52356195605701	4.52356195605701	4.08746284125034	3.4594316186373	4.24792751344359
TRIM8	8.63662462054365	9.00281501560705	8.93073733756289	8.74146698640115	8.8073549220576	8.82336724004623
SDE2	13.075479149488	13.0854724591813	13.0225412034548	12.9392118826664	13.2553236900081	13.1727400170494
LACTB2-AS1	2	3.32192809488736	2.32192809488736	1.58496250072116	2.58496250072116	2.8073549220576
NEIL2	7.29462074889163	7.01122725542325	7.43462822763672	7.01122725542325	7.06608919045777	7.4093909361377
ZNF175	10.1254134704833	9.82654848729091	9.91587937883577	9.87805091272854	9.86727873970966	9.94251450533924
ELOCP19	3.8073549220576	3.58496250072116	3.90689059560852	3.90689059560852	3.58496250072116	3.58496250072116
EXOC7	11.1241213118292	11.2934716488381	11.3219280948874	11.1774195379892	11.4120405145517	11.3303567169579
PLD5P1	2.32192809488736	2.8073549220576	2.58496250072116	1.58496250072116	3	2.58496250072116
NPDC1	2.32192809488736	2	2	1	3	3.16992500144231
BGN	4.64385618977472	4.16992500144231	4.24792751344359	4.16992500144231	5.04439411935845	4.24792751344359
PACC1	6.10852445677817	6.10852445677817	5.58496250072116	5.88264304936184	5.75488750216347	5.90689059560852
HNRNPA1P42	3.16992500144231	1.58496250072116	1.58496250072116	2.8073549220576	0	2.32192809488736
PPIAP9	2.32192809488736	2.8073549220576	0	1.58496250072116	3.16992500144231	1.58496250072116
ANAPC4	9.05256805080415	9.42206476617281	9.21916852046216	9.09011241966429	9.38801728534514	9.44708322620965
DCST2	1	2.32192809488736	3.8073549220576	3	2.8073549220576	2.32192809488736
SMPDL3B	3.58496250072116	4	4.24792751344359	4.24792751344359	4.08746284125034	3.8073549220576
DTX2	6.98868468677217	7.65821148275179	7.20945336562895	7.09803208296053	7.40087943628218	7.05528243550119
CD27	3.58496250072116	3.32192809488736	2	2	3.16992500144231	3
LUCAT1	3.4594316186373	4.52356195605701	3.58496250072116	4.08746284125034	4	3.90689059560852
HBAP1	2.32192809488736	2.8073549220576	2.8073549220576	2.58496250072116	3.16992500144231	1.58496250072116
EPHA4	4.95419631038687	4.52356195605701	3.70043971814109	5.20945336562895	4.58496250072116	4
BRCC3P1	3.16992500144231	3.8073549220576	3.32192809488736	3.16992500144231	3.4594316186373	4.08746284125034
RPS6	15.1762900438186	15.2610664999994	15.0707498895021	15.0945725784928	15.3126702781938	15.2766333308867
OGG1	8.37068740680722	8.56224242422107	8.45121111183233	8.25738784269265	8.51569983828404	8.43045255166553
PTP4A1	2	2.58496250072116	1.58496250072116	1	2.32192809488736	3.90689059560852
CPLANE2	6.2667865406949	6.55458885167764	6.35755200461808	6.4093909361377	6.32192809488736	6.2667865406949
RPSAP13	0	2.58496250072116	1	2.32192809488736	2.58496250072116	0
METTL9	11.1104833098162	11.2264121927888	11.1661630826461	11.0161118382205	11.1854949242109	11.1421070573025
BMPR1A	4.16992500144231	3.16992500144231	3.32192809488736	2.8073549220576	3.16992500144231	4.08746284125034
CACNB4	3.16992500144231	3.16992500144231	2.32192809488736	2	3.4594316186373	2.58496250072116
VASP	10.6519486107234	10.9571020415623	10.6110247973074	10.5478585060584	10.7598881832218	10.7064960180612
ZBTB8OS	10.9121408562957	11.0402897210257	10.8902642770211	10.7870863245516	10.981567281903	10.9076418036655
C1QL3	1	2.8073549220576	1.58496250072116	0	2.32192809488736	2
KATNBL1	8.02790599656988	8.36194377373524	8.24792751344359	8.10328780841202	8.4594316186373	8.29462074889163
SPOCD1	1.58496250072116	1.58496250072116	1	1	1	3
SNORD27	0.584962500721156	0.584962500721156	0	0	2	0
AK9	8.44294349584873	8.86727873970966	8.59618975614441	8.4757334309664	8.467605550083	8.73470962022584
TAF1A-AS1	3.4594316186373	2.8073549220576	2.8073549220576	3.70043971814109	3	1.58496250072116
VRK2	10.4439795426013	10.4283601727043	10.5727002264873	10.2203783276952	10.5877775163282	10.4398308839814
YWHAH-AS1	4	5.4262647547021	5	5.12928301694497	5.4594316186373	4.4594316186373
ZNF569	7.59991284218713	7.83920378809694	7.63662462054365	7.59991284218713	7.83920378809694	7.82654848729092
JPH4	2.58496250072116	3.32192809488736	1	1	2.58496250072116	2.32192809488736
FBXO8	8.79766152585376	8.93663793900257	8.93073733756289	8.74819284958946	9.0389189892923	9.07146236255662
RMDN1	9.60177078840771	9.89330153086056	9.58683978796183	9.59991284218713	9.85486838326024	9.83447104998422
UBE2J1	10.1774195379892	10.2900188469326	10.3286749273279	10.0781508077346	10.4072677642447	10.1163439612375
RAB6B	11.2076244682268	11.2197735508929	11.1699250014423	11.0901124196643	11.2825093062408	11.403012023575
CIT	13.2109756777264	13.3893624556439	13.3732730044221	13.102631888855	13.3827591040565	13.3036380695397
MSI2	10.1861142395416	10.2992080183873	10.2467405984931	10.1059085085712	10.3083390301394	10.1548181090521
SLC30A6-DT	5.20945336562895	5.61470984411521	4.85798099512757	5.12928301694497	5.28540221886225	4.95419631038687
GOLGA8VP	3.16992500144231	3.90689059560852	3.4594316186373	3.4594316186373	3.16992500144231	3.58496250072116
GSN-AS1	1.58496250072116	1.58496250072116	3.4594316186373	3.16992500144231	1.58496250072116	2.8073549220576
ANP32A	14.4256748696171	14.5487015183355	14.4468894414762	14.3456824481868	14.7009273256102	14.5658755935473
GLI1	0	2.58496250072116	2	2.32192809488736	2.32192809488736	1
STK11	13.5223363209133	13.6068678373742	13.5531492755985	13.4451442065536	13.5225815312548	13.5651020783603
RPL21P93	3.32192809488736	3.58496250072116	2.8073549220576	2.32192809488736	3.8073549220576	3
ICMT	9.4898479604393	9.69696752623429	9.5077946401987	9.47775826644389	9.70217268536555	9.69696752623429
RHOF	5.49185309632967	5.24792751344359	5.35755200461808	5.20945336562895	5.35755200461808	5.35755200461808
NDUFA6-DT	6.14974711950468	6.08746284125034	5.83289001416474	5.7279204545632	6.3037807481771	5.75488750216347
B3GALT4	4.52356195605701	3.4594316186373	3.70043971814109	4	3.70043971814109	4.4594316186373
A2MP1	1.58496250072116	2.32192809488736	1	2	2	0
NFE2L3	7.63662462054365	7.4093909361377	7.4178525148859	7.70735913208088	7.36632221424582	7.59245703726808
LINC00294	4.52356195605701	5.04439411935845	5.52356195605701	5.39231742277876	4.4594316186373	4.75488750216347
NSA2	12.9065148448469	12.983171762188	12.8573978917013	12.7739633684336	13.0813169892858	13.0806510019498
NAALADL1	1.58496250072116	3.58496250072116	2.8073549220576	0	2.8073549220576	3.70043971814109
MCM8	10.9549232920303	11.1433832139898	10.9307373375629	10.9971794809376	11.1548181090521	11.0464419480073
ALG8	8.0389189892923	8.05528243550119	8.08214904135387	7.76155123244448	8.3264294871223	8.35314682549808
TP53	10.0195907283579	10.2252074369435	10.2155329997457	9.89330153086056	10.2667865406949	10.0967151544885
TMEM254	6.3037807481771	6.33985000288462	6.10852445677817	6.14974711950468	6.52356195605701	6.28540221886225
U8	0.0641303374197156	0.184424571137427	0.295455883526171	0.184424571137427	0	0.184424571137427
SENP1	10.843921051289	10.8540891798706	10.8978454560055	10.6943578872215	10.7992816215219	10.9388444574662
AGA	9.55266909751427	9.71080643369935	9.78299820892041	9.58120058192496	9.82177398197057	9.82972273508606
ERP27	2.8073549220576	3.70043971814109	2.8073549220576	3.4594316186373	2.32192809488736	3
EXTL2	7.40087943628218	7.31288295528436	7.21916852046216	6.98868468677217	7.4178525148859	7.31288295528436
CEP20	9.62205181945638	9.73640193131829	9.75655632252409	9.58120058192496	9.93369065495223	9.78953364497036
TAF5L	10.1586096882145	10.5048189876328	10.4767462039395	10.2888660741658	10.3826240265749	10.2749604721406
ZNF607	5.6724253419715	6.62935662007961	6.4757334309664	6.24792751344359	6.02236781302845	6.12928301694497
NSMCE1	9.94251450533924	9.86727873970966	10.0443941193585	9.87805091272854	9.98584193700334	9.82972273508606
GBP2	7.84549005094437	7.77478705960117	7.467605550083	7.49984588708321	7.75488750216347	7.62205181945638
KDSR-DT	3.90689059560852	3	2.8073549220576	2.58496250072116	2	4.24792751344359
SNX4	10.5343028824546	10.6635581042173	10.6348110501717	10.4817994316658	10.7780771295354	10.7557221536423
COA8	6.59991284218713	6.62935662007961	6.89481776330794	6.62935662007961	6.71424551766612	6.59991284218713
EXOC1	9.51175265376738	9.55650605467193	9.63117705570398	9.25738784269265	9.66355810421727	9.57553924683453
SHCBP1	11.6564248632778	11.7923836149352	11.8603110549195	11.5717526435035	11.8784341495593	11.6719832720919
RNASEH1P2	3.4594316186373	2.58496250072116	2.58496250072116	2.8073549220576	1	3.8073549220576
LDHAL6A	4.64385618977472	4.39231742277876	3.4594316186373	4.24792751344359	4	4.75488750216347
IVD	10.0056245491939	10.2131042196419	10.3431857154479	9.86418614465428	10.3320365483617	10.1279943209764
C8orf48	3.16992500144231	2.32192809488736	1.58496250072116	2	2.8073549220576	1.58496250072116
DUX4L50	2	3.8073549220576	3	2.32192809488736	3.70043971814109	3.58496250072116
ANKRD20A7P	3.90689059560852	4.52356195605701	4.16992500144231	4.4594316186373	4.16992500144231	3.58496250072116
RPS15A	9.76652890859886	9.95274124718649	9.80251636512122	9.65999589242998	9.85174904141606	9.84077792359505
TMEM219	6.4093909361377	6.32192809488736	6.44294349584873	6.10852445677817	6.3037807481771	6.55458885167764
CHORDC1P4	6.94251450533924	7.08746284125034	6.6724253419715	6.70043971814109	7.32192809488736	6.96578428466209
RNY4P10	2	3.4594316186373	2.58496250072116	2	3.32192809488736	3.4594316186373
AIFM1	11.1357092861044	11.1736771363034	11.1189410727235	11.1350679457778	11.2737955992143	11.1674181458317
MAN1B1	9.94836723158468	10.12153351734	9.98299357469431	10.0389189892923	10.1006623390052	10.0660891904578
ZNF140	5.97727992349992	5.4594316186373	6.08746284125034	5.55458885167764	6.14974711950468	6.16992500144231
LINC00957	2.8073549220576	3.90689059560852	4	3.16992500144231	2.32192809488736	4.39231742277876
CLTRN	1.58496250072116	2	2.58496250072116	2.8073549220576	1.58496250072116	2.32192809488736
FAM186B	2.32192809488736	2.8073549220576	1.58496250072116	2.58496250072116	2	1.58496250072116
FBXL17	7.04439411935845	6.95419631038687	6.5077946401987	6.55458885167764	6.76818432477693	6.91886323727459
PSMG4	8.50382573799575	8.62205181945638	8.68650052718322	8.51569983828404	8.73470962022584	8.73470962022584
VTN	2.8073549220576	2.32192809488736	2.32192809488736	2	2.32192809488736	3.8073549220576
WASH7P	8.7714894695006	8.8008998999203	9.04439411935845	9.47167521439204	8.58120058192496	8.90689059560852
RCL1	9.7515440590891	10.0154150523867	10.0306671362469	9.85953478638265	10.0808175276083	10.047123912114
ERICH6	1.58496250072116	2	2	1.58496250072116	2.32192809488736	2
MYLK-AS1	5.95419631038687	6.52356195605701	5.97727992349992	5.90689059560852	6.20945336562895	6.06608919045777
DLGAP3	3	2	1	3.16992500144231	0	1.58496250072116
CCDC115	9.25266543245025	9.36632221424582	9.11113567023471	8.86727873970966	9.28771237954945	9.33985000288462
AKIP1	9.65642486327778	9.85642552862553	9.84705734609134	9.7797193551434	9.78463484555752	9.96722625883599
FNBP1P1	8.2045711442492	8.27146302790437	8.51175265376738	8.13955135239879	8.39660478118186	8.70735913208088
FABP5P3	1.58496250072116	1.58496250072116	1.58496250072116	1	2.8073549220576	0
CPNE7	1.58496250072116	1.58496250072116	1.58496250072116	0	2.8073549220576	1
MKLN1	9.48784003382305	9.56033283421244	9.65999589242998	9.60362634498619	9.56033283421244	9.70043971814109
RPS3	14.5972960504485	14.7872394037645	14.6332790748796	14.6062895333455	14.8558904494532	14.7291427397801
LRRC69	4.16992500144231	4.32192809488736	3.90689059560852	4.32192809488736	3.58496250072116	4.16992500144231
ZFAT	8.94836723158468	8.95128471496697	8.76155123244448	8.79766152585376	8.93663793900257	9.11374216604919
ATF1	10.3083390301394	10.3476213685681	10.2992080183873	10.1045987535644	10.3465137331656	10.3387363825739
NUP160	11.2796105810525	11.403544678202	11.4408691676109	11.1484765821783	11.4828079567267	11.3083390301394
CENPK	11.3381792499001	11.3470676571659	11.4325419003883	11.2842457498297	11.5627194270493	11.4393114618188
HSPB6	2.32192809488736	3.16992500144231	3.32192809488736	3.16992500144231	3.32192809488736	1.58496250072116
FPGT-TNNI3K	2	3.4594316186373	1.58496250072116	0	3.16992500144231	2.58496250072116
STIMATE	3.32192809488736	3.90689059560852	3.16992500144231	3.4594316186373	3.16992500144231	3.4594316186373
GLT8D1	8.2045711442492	7.99435343685886	8.23840473932508	8.11894107272351	8.21431912080077	7.91288933622996
AP1S3	3.4594316186373	3.32192809488736	2.8073549220576	3.32192809488736	2.32192809488736	3.4594316186373
HDAC2	12.9046346216682	12.9329528921947	12.8959538928122	12.8223716599633	13.0617087046606	13.0100035212952
COL4A6	3.70043971814109	4	3.58496250072116	4.16992500144231	4.16992500144231	3.32192809488736
CLN8	9.89633240390994	9.85953478638265	9.75988818322183	9.92777796208234	9.63662462054365	9.77807712953536
MARCHF9	5.70043971814109	6.22881869049588	6.06608919045777	5.85798099512757	6.24792751344359	6.14974711950468
LCA5L	4.24792751344359	3.70043971814109	3.90689059560852	4.64385618977472	3.70043971814109	3.90689059560852
PRUNE1	7.27612440527424	7.12928301694497	6.96578428466209	6.93073733756289	7.3037807481771	7.36632221424582
EPS15L1	10.18982455888	10.243173983473	10.2167458581953	10.18982455888	10.3353903546939	10.270295326472
C2orf49	10.951284714967	11.0450770519349	11.0244471240406	10.9571020415623	11.0914353863236	11.1241213118292
PLEKHA8P1	6.16992500144231	6.28540221886225	6.3037807481771	6.37503943134692	6.22881869049588	5.95419631038687
CBX3P1	2.32192809488736	2	0	2	1.58496250072116	1.58496250072116
MICB-DT	3.32192809488736	3.32192809488736	1.58496250072116	2.8073549220576	1.58496250072116	3
GSPT1	13.8486229404293	13.8864586957037	13.8302180810277	13.8374308302213	13.9490059354048	13.9217479769249
CCT8P1	6.49185309632967	6.18982455888002	5.78135971352466	5.97727992349992	6.35755200461808	6.44294349584873
TRAPPC2	7.14974711950468	7.20945336562895	6.93073733756289	7.02236781302845	7.01122725542325	7.08746284125034
PYCR2	10.4828079567267	10.6456584324087	10.4908508767403	10.471675214392	10.806549621986	10.5304063370991
VAC14	10.3072008091408	10.5698556083309	10.5783726913608	10.3498340914572	10.4988492065317	10.4304525516655
WNT3A	0	0	1.58496250072116	0	2.8073549220576	0
OR6N2	0	0	2.8073549220576	0	1.58496250072116	0
LINC01304	0	0	1.58496250072116	0	0	2.8073549220576
PANTR1	0	0	2.8073549220576	0	1.58496250072116	0
MARK2P6	1.58496250072116	0	0	0	2.8073549220576	0
FOXL2NB	0	1.58496250072116	0	0	0	2.8073549220576
HRH2	0	0	1.58496250072116	0	2.8073549220576	0
NPM1P38	0	0	1.58496250072116	2.8073549220576	0	0
PRSS1	0	1.58496250072116	0	0	2.8073549220576	0
BEND2	0	0	1.58496250072116	2.8073549220576	0	0
NPM1P49	0	0	1.58496250072116	0	2.8073549220576	0
